Link,Price,Parking,Description_1,Description_2,Description_3
"Piso en calle del Perelló, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",980.000,Garaje incluido,3 hab.,110 m², exterior con ascensor
"Dúplex en La Vila Olímpica del Poblenou, Barcelona",975.000,Garaje incluido,4 hab.,152 m²,Bajo exterior sin ascensor
"Piso en Salvador Espriu, La Vila Olímpica del Poblenou, Barcelona",950.000,,4 hab.,163 m²,Planta 1ª exterior con ascensor
"Ático en El Poblenou, Barcelona",935.000,Garaje incluido,2 hab.,125 m²,Planta 3ª exterior con ascensor
"Piso en El Poblenou, Barcelona",935.000,,2 hab.,185 m²,Planta 5ª exterior con ascensor
"Ático en Avila, El Parc i la Llacuna del Poblenou, Barcelona",900.000,,4 hab.,250 m²,Planta 4ª exterior con ascensor
"Chalet pareado en El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,200 m²,
"Chalet adosado en El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,200 m²,
"Chalet adosado en Passatge de Piquer, El Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,206 m²,
"Chalet adosado en La Vila Olímpica del Poblenou, Barcelona",890.000,Garaje incluido,3 hab.,214 m²,
"Chalet adosado en El Poblenou, Barcelona",890.000,,3 hab.,147 m²,
